序号,一级序号,二级序号,三级序号,二级产品类别,intended_use,grade,row_id
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01116,诺如病毒抗原/核酸检测试剂,用于检测人体样本中的诺如病毒抗原/核酸。临床上用于诺如病毒感染的辅助诊断。,Ⅲ,116
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01117,破伤风类毒素抗体检测试剂,用于检测人体样本中的破伤风类毒素抗体。临床上用于破伤风的辅助诊断。,Ⅲ,117
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01118,曲霉菌半乳甘露聚糖抗原/IgG抗体/IgE抗体检测试剂,用于检测人体样本中的曲霉半乳甘露聚糖抗原/IgG抗体/IgE抗体。临床上用于曲霉感染的辅助诊断。,Ⅲ,118
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01119,曲霉菌抗原/抗体检测试剂,用于检测人体样本中的烟曲霉、黄曲霉、黑曲霉等曲霉菌抗原/抗体。临床上用于曲霉感染的辅助诊断。,Ⅲ,119
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01120,热带假丝酵母菌核酸检测试剂,用于检测人体样本中的热带假丝酵母菌核酸。临床上用于热带假丝酵母菌感染的辅助诊断。,Ⅲ,120
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01121,人博卡病毒核酸检测试剂,用于检测人体样本中的人博卡病毒核酸。临床上用于博卡病毒感染的辅助诊断。,Ⅲ,121
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01122,人感染H7N9禽流感病毒核酸检测试剂,用于检测人体样本中H7N9禽流感病毒核酸。临床上用于禽流感的辅助诊断。,Ⅲ,122
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01123,人类T淋巴细胞病毒Ⅰ型和Ⅱ型（HTLV Ⅰ+Ⅱ）抗体检测试剂,用于检测人体样本中的人类T淋巴细胞病毒I型和Ⅱ型（HTLV Ⅰ+Ⅱ）抗体。临床上用于人类T淋巴细胞病毒感染的辅助诊断。,Ⅲ,123
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01124,人类免疫缺陷病毒1型（HIV 1）核酸检测试剂,用于检测人体样本中的人类免疫缺陷病毒1型（HIV 1）核酸。临床上用于HIV感染的辅助诊断。,Ⅲ,124
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01125,人类免疫缺陷病毒（HIV）耐药基因检测试剂,用于检测人体样本中的人类免疫缺陷病毒（HIV）的耐药基因。临床上用于人类免疫缺陷病毒耐药性的辅助诊断。,Ⅲ,125
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01126,人类免疫缺陷病毒（HIV）抗体检测试剂,用于检测人体样本中的人类免疫缺陷病毒（HIV）抗体，包括1型（包括O组、M组等）、2型抗体。临床上用于人类免疫缺陷病毒感染的辅助诊断。,Ⅲ,126
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01127,人类免疫缺陷病毒（HIV）抗原检测试剂,用于检测人体样本中的人类免疫缺陷病毒（HIV）抗原。临床上用于人类免疫缺陷病毒感染的辅助诊断。,Ⅲ,127
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01128,人类免疫缺陷病毒（HIV）抗原/抗体确认试剂,用于检测人体样本中的人类免疫缺陷病毒（HIV）抗原/抗体。临床上用于确认人类免疫缺陷病毒抗原/抗体检测结果具有反应性的样本。,Ⅲ,128
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01129,人偏肺病毒（HMPV）核酸检测试剂,用于检测人体样本中人偏肺病毒（HMPV）核酸。临床上用于人偏肺病毒感染的辅助诊断。,Ⅲ,129
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01130,人乳头瘤病毒（HPV）核酸检测试剂,用于检测人体样本中的人乳头瘤病毒（HPV）核酸。临床上用于人乳头瘤病毒感染的辅助诊断。,Ⅲ,130
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01131,人乳头瘤病毒（HPV）基因分型检测试剂,用于检测人体样本中的人乳头瘤病毒（HPV）基因分型。临床上用于人乳头瘤病毒感染的辅助诊断。,Ⅲ,131
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01132,日本血吸虫抗体检测试剂,用于检测人体样本中日本血吸虫特异性抗体。临床上用于日本血吸虫感染的辅助诊断。,Ⅲ,132
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01133,血吸虫虫卵抗体检测试剂,用于检测人体样本中特异性血吸虫虫卵抗体。临床上用于血吸虫感染辅助诊断。,Ⅲ,133
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01134,腮腺炎病毒抗体/核酸检测试剂,用于检测人体样本中的腮腺炎病毒抗体/核酸。临床上用于腮腺炎的辅助诊断。,Ⅲ,134
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01135,沙门菌抗原/核酸检测试剂,用于检测人体样本中的沙门菌抗原/核酸。临床上用于沙门菌感染的辅助诊断。,Ⅲ,135
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01136,沙门菌属诊断血清,用于检测人体样本中的伤寒沙门菌、副伤寒沙门菌、鼠伤寒沙门菌。临床上用于各型沙门菌的分型。,Ⅲ,136
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01137,沙眼衣原体抗原/抗体/核酸检测试剂,用于检测人体样本中的沙眼衣原体抗原/抗体/核酸。临床上用于沙眼衣原体感染的辅助诊断。,Ⅲ,137
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01138,伤寒、甲型副伤寒沙门菌核酸检测试剂,用于检测人体样本中的伤寒沙门菌和甲型副伤寒沙门菌核酸。临床上用于伤寒、甲型副伤寒沙门菌感染的辅助诊断。,Ⅲ,138
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01139,伤寒沙门菌H901诊断菌液,用于检测人体样本中的伤寒沙门菌抗体。临床上用于肥达（Widal）反应。,Ⅲ,139
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01140,伤寒沙门菌O901诊断菌液,用于检测人体样本中的伤寒沙门菌抗体。临床上用于肥达（Widal）反应。,Ⅲ,140
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01141,伤寒沙门菌（甲/乙/丙）型诊断菌液,用于检测人体样本中的甲/乙/丙型伤寒沙门菌。临床上用于伤寒沙门菌甲、乙、丙型血清诊断。,Ⅲ,141
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01142,嗜肺军团菌抗体/核酸检测试剂,用于检测人体样本中的嗜肺军团菌抗体/核酸。临床上用于军团菌肺炎的辅助诊断。,Ⅲ,142
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01143,鼠疫耶尔森菌F1抗体检测试剂,用于检测人体样本中的鼠疫耶尔森菌F1抗体。临床上用于人鼠疫耶尔森菌感染的辅助诊断。,Ⅲ,143
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01144,鼠疫耶尔森菌诊断血清,用于检测人体样本中的鼠疫耶尔森菌。临床上用于鼠疫耶尔森菌感染的辅助诊断。,Ⅲ,144
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01145,水痘-带状疱疹病毒抗体检测试剂,用于检测人体样本中的水痘-带状疱疹病毒抗体。临床上用于水痘-带状疱疹病毒感染的辅助诊断。,Ⅲ,145
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01146,炭疽杆菌抗原检测试剂,用于检测人体样本中的炭疽杆菌抗原。临床上用于炭疽杆菌感染的辅助诊断。,Ⅲ,146
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01147,炭疽杆菌诊断血清,用于检测人体样本中的炭疽杆菌。临床上用于炭疽杆菌感染的辅助诊断。,Ⅲ,147
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01148,碳青霉烯类抗生素耐药基因检测试剂,用于检测人体样本中耐药细菌的碳青霉烯类抗生素耐药基因。临床上用于耐药细菌碳青霉烯耐药性的辅助诊断。,Ⅲ,148
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01149,戊型肝炎病毒抗原/抗体/核酸检测试剂,用于检测人体样本中的戊型肝炎病毒抗原/抗体/核酸。临床上用于戊型肝炎的辅助诊断。,Ⅲ,149
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01150,腺病毒抗体/抗原/核酸检测试剂,用于检测人体样本中的腺病毒抗体/抗原/核酸。临床上用于腺病毒感染的辅助诊断。,Ⅲ,150
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01151,SARS冠状病毒抗体检测试剂,用于检测人体样本中的SARS冠状病毒抗体。临床上用于传染性非典型性肺炎的辅助诊断。,Ⅲ,151
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01152,新型冠状病毒（SARS-CoV-2）抗原/抗体/核酸检测试剂,用于检测人体样本中的新型冠状病毒（SARS-CoV-2）的抗原/抗体/核酸。临床上用于新型冠状病毒感染的辅助诊断。,Ⅲ,152
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01153,恙虫病抗原/抗体检测试剂,用于检测人体样本中的恙虫病抗原/抗体。临床上用于恙虫病的辅助诊断。,Ⅲ,153
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01154,衣原体抗原检测试剂,用于检测人体样本中的衣原体抗原。临床上用于衣原体感染的辅助诊断。,Ⅲ,154
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01155,阴道加德纳菌抗原检测试剂,用于检测人体样本中的阴道加德纳菌抗原。临床上用于阴道加德纳菌感染的辅助诊断。,Ⅲ,155
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01156,阴道毛滴虫抗原/核酸检测试剂,用于检测人体样本中的阴道毛滴虫抗原/核酸。临床上用于阴道毛滴虫感染的辅助诊断。,Ⅲ,156
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01157,隐球菌核酸检测试剂,用于检测人体样本中的隐球菌核酸。临床用于隐球菌感染的辅助诊断。,Ⅲ,157
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01158,隐球菌荚膜多糖抗原检测试剂,用于检测人体样本中的隐球菌荚膜多糖抗原。临床上用于隐球菌感染的辅助诊断。,Ⅲ,158
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01159,幽门螺旋杆菌抗体分型检测试剂,用于检测人体样本中的多种幽门螺旋杆菌抗体。临床上用于幽门螺旋杆菌的分型。,Ⅲ,159
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01160,幽门螺旋杆菌抗原/抗体/核酸检测试剂,用于检测人体样本中的幽门螺旋杆菌抗原/抗体/核酸。临床上用于胃肠道幽门螺旋杆菌感染的辅助诊断。,Ⅲ,160
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01161,幽门螺旋杆菌耐药基因检测试剂,用于检测人体样本中的幽门螺旋杆菌耐药基因。临床上用于幽门螺旋杆菌耐药性的辅助诊断。,Ⅲ,161
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01162,幽门螺旋杆菌尿素酶抗体检测试剂,用于检测人体样本中的幽门螺旋杆菌尿素酶抗体。临床上用于胃肠道幽门螺旋杆菌感染的辅助诊断。,Ⅲ,162
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01163,寨卡病毒核酸检测试剂,用于检测人体样本中的寨卡病毒核酸。临床上用于寨卡病毒感染的辅助诊断。,Ⅲ,163
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01164,真菌26S rRNA检测试剂,用于检测人体样本中真菌26S rRNA。临床上用于真菌感染的辅助诊断。,Ⅲ,164
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01165,志贺菌核酸检测试剂,用于检测人体样本中的志贺菌核酸。临床上用于志贺菌感染的辅助诊断。,Ⅲ,165
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01166,志贺菌属诊断血清,用于检测人体样本中的志贺菌。临床上用于志贺菌属的分群。,Ⅲ,166
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01167,鲍氏志贺菌诊断血清,用于检测人体样本中的鲍氏志贺菌。临床上用于鲍氏志贺菌群分型。,Ⅲ,167
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01168,福氏志贺菌诊断血清,用于检测人体样本中的福氏志贺菌。临床上用于福氏志贺菌群分型。,Ⅲ,168
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01169,宋内志贺菌诊断血清,用于检测人体样本中的宋内志贺菌。临床上用于宋内志贺菌群分型。,Ⅲ,169
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01170,痢疾志贺菌诊断血清,用于检测人体样本中的痢疾志贺菌。临床上用于痢疾志贺菌群分型。,Ⅲ,170
1,2,与血型、组织配型相关的试剂,02001,ABO血型定型试剂,用于检测人体血液样本中ABO血型抗原。临床上用于人ABO血型正定型检测。,Ⅲ,171
2,2,与血型、组织配型相关的试剂,02002,ABO血型反定型试剂,用于检测人体血液样本中ABO血型抗体。临床上用于人ABO血型反定型检测。,Ⅲ,172
3,2,与血型、组织配型相关的试剂,02003,K血型抗原检测试剂,用于检测人体血液样本中K血型系统抗原。临床上用于人K血型鉴定。,Ⅲ,173
4,2,与血型、组织配型相关的试剂,02004,RhD血型鉴定试剂,用于检测人体血液样本中RhD血型抗原。临床上用于人RhD血型鉴定。,Ⅲ,174
5,2,与血型、组织配型相关的试剂,02005,Rh血型抗原检测试剂,用于检测人体血液样本中Rh血型系统C、c、D、E、e抗原。临床上用于人Rh血型鉴定。,Ⅲ,175
6,2,与血型、组织配型相关的试剂,02006,红细胞抗体筛选/鉴定试剂,用于输血治疗时对受血者（和供血者）进行红细胞抗体筛查或抗体特异性鉴定及抗体效价检测。临床上用于输血反应（溶血等不良事件）的辅助诊断与预防。,Ⅲ,176
7,2,与血型、组织配型相关的试剂,02007,抗C（IgM）血型定型试剂,用于检测人体血液样本中红细胞上Rh2（C）抗原。临床上用于Rh2（C）血型定型。,Ⅲ,177
8,2,与血型、组织配型相关的试剂,02008,抗c（IgM）血型定型试剂,用于检测人体血液样本中红细胞上Rh4（c）抗原。临床上用于Rh4（c）血型定型。,Ⅲ,178
9,2,与血型、组织配型相关的试剂,02009,抗D（IgG）血型定型试剂,用于检测人体血液样本中红细胞上RhD抗原，与DⅥ细胞反应，能检测出弱D。临床上用于RhD血型定型。,Ⅲ,179
